HTML is what type of language ?,Scripting Language,Markup Language,Programming Language,Network Protocol,Markup Language,,
HTML uses,User defined tags,Pre-specified tags,Fixed tags defined by the language,Tags only for linking,Fixed tags defined by the language,,
Fundamental HTML Block is known as ___________.,HTML Body,HTML Tag,HTML Attribute,HTML Element,HTML Tag,,
What tag is used to display a picture in a HTML page?,picture,image,img,src,img,,
HTML web pages can be read and rendered by _________.,Compiler,Server,Web Browser,Interpreter,Web Browser,,
Which of the following is not a browser ?,Microsofts Bing,Netscape Navigator,Mozilla Firefox,Opera,Microsofts Bing,,
Which of the following is not a valid variable name declaration?,int __a3;,int __3a,int __A3,None of the mentioned,None of the mentioned,,
All keywords in C are in ____________,LowerCase letters,UpperCase letters,CamelCase letters,None of the mentioned,LowerCase letters,,
Variable name resolution (number of significant characters for the uniqueness of variable) depends on ___________,Compiler and linker implementations,Assemblers and loaders implementations,C language,None of the mentioned,Compiler and linker implementations,,
Which of the following is not a valid C variable name?,int number,float rate,int variable_count,int $main,int $main,,
Which of the following is true for variable names in C?,They can contain alphanumeric characters as well as special characters,"It is not an error to declare a variable to be one of the keywords(like goto, static)",Variable names cannot start with a digit,Variable can be of any length,Variable names cannot start with a digit,,
"Within main, return expr statement is equivalent to ________",abort(expr),exit(expr),ferror(expr),none,exit(expr),,
stderr is similar to?,stdin,stdout,both stdout and stdin,none ,stdin,,
Which of the following function can be used to terminate the main function from another function safely?,return(expr),exit(expr),abort(),both exit(expr); and abort(),exit(expr),,
The parameter control string in the printf () is a C String that contains text to be,taken from a standard output device,written on to the standard output device,received from the standard output device,nothing can be said,written on to the standard output device,,
"Output justification such as decimal point, numerical sign, trailing zeros or octal are specified.",specifier,flags,precision,decimal,flags,,
What symbol is used to Left-justify within the data given field width?,#NAME,#NAME?,#,0,#NAME?,,
What specifies the minimum number of characters to print after being padded with zeros or blank spaces?,flags,length,width,precision,width,,
The maximum number of characters to be printed is specified by __________,precision,width,length,flags,precision,,
What error is generated on placing an address operator with a variable in the printf statement?,compile error,run-time error,logical error,no error,run-time error,,
What error will generate if the read and write parameters are not separated by commas?,run-time error,compile error,logical error,no error,compile error,,
A fatal error will be generated if the format string is ended with a white space character.,TRUE,FALSE,,,TRUE,,
